corporation,rumor
"EcoGen Labs (pharmaceuticals)","Political scandal"
"Morton Unlimited (agricultural business)","Being bought out by a competitor"
"MalCo-Horizon Systems (weapons manufacturer)","Massive lay-offs"
"Calibrated Applications (weapons manufacturer)","Child labor accusations"
"Dawn Holdings (banking)","Buying out a rival"
"Frontiers Communications (telecom)","Corruption"
"RTD Multinational (telecom)","Silencing the media"
"McGregor-Chen Advanced (biotech)","Mass hirings"
"Drake Industries (all sectors)","Stock price plummeting"
"Omega Logistics (all sectors)","Fired CEO"
"Blue Comet Media (media)","Workers striking"
"Iron Fist Services (security)","Preparing for large expansion"
"Atlantic Industrial Inc. (food & water)","On trial"
"One World Network (media)","Murdered CEO"
"Underwood Technologies (energy)","Use of forced labor"
"Ladder Inc. (software)","Upcoming product/service announcement"
"Carthen Consolidated (cybernetics)","At war with another corporation"
"Crown Biological (medical)","Targeted by terrorists"
"Terracore Defense (security)","In conflict with the UN"
"Evolve Group (weapons manufacturer)","Linked to civilian deaths"
